metric,base_rate,mde_relative,required_n_per_group,required_total_n
ad_click_rate,0.015,0.03,581104,1162208
ad_click_rate,0.015,0.05,211207,422414
ad_click_rate,0.015,0.08,83673,167346
ad_click_rate,0.015,0.1,54047,108094
ad_click_rate,0.015,0.15,24568,49136
article_completion_rate,0.35,0.03,16306,32612
article_completion_rate,0.35,0.05,5896,11792
article_completion_rate,0.35,0.08,2317,4634
article_completion_rate,0.35,0.1,1489,2978
article_completion_rate,0.35,0.15,668,1336
content_click_through,0.22,0.03,31250,62500
content_click_through,0.22,0.05,11328,22656
content_click_through,0.22,0.08,4470,8940
content_click_through,0.22,0.1,2880,5760
content_click_through,0.22,0.15,1301,2602
daily_active_rate,0.45,0.03,10686,21372
daily_active_rate,0.45,0.05,3853,7706
daily_active_rate,0.45,0.08,1508,3016
daily_active_rate,0.45,0.1,966,1932
daily_active_rate,0.45,0.15,430,860
playlist_add_rate,0.08,0.03,101658,203316
playlist_add_rate,0.08,0.05,36922,73844
playlist_add_rate,0.08,0.08,14612,29224
playlist_add_rate,0.08,0.1,9432,18864
playlist_add_rate,0.08,0.15,4280,8560
referral_rate,0.03,0.03,286060,572120
referral_rate,0.03,0.05,103955,207910
referral_rate,0.03,0.08,41174,82348
referral_rate,0.03,0.1,26591,53182
referral_rate,0.03,0.15,12083,24166
session_duration_above_5min,0.28,0.03,22628,45256
session_duration_above_5min,0.28,0.05,8194,16388
session_duration_above_5min,0.28,0.08,3228,6456
session_duration_above_5min,0.28,0.1,2077,4154
session_duration_above_5min,0.28,0.15,936,1872
signup_conversion,0.08,0.03,101658,203316
signup_conversion,0.08,0.05,36922,73844
signup_conversion,0.08,0.08,14612,29224
signup_conversion,0.08,0.1,9432,18864
signup_conversion,0.08,0.15,4280,8560
subscription_conversion,0.04,0.03,212299,424598
subscription_conversion,0.04,0.05,77142,154284
subscription_conversion,0.04,0.08,30549,61098
subscription_conversion,0.04,0.1,19728,39456
subscription_conversion,0.04,0.15,8962,17924
trial_start_rate,0.12,0.03,64778,129556
trial_start_rate,0.12,0.05,23516,47032
trial_start_rate,0.12,0.08,9300,18600
trial_start_rate,0.12,0.1,6000,12000
trial_start_rate,0.12,0.15,2719,5438
upsell_rate,0.06,0.03,138539,277078
upsell_rate,0.06,0.05,50329,100658
upsell_rate,0.06,0.08,19924,39848
upsell_rate,0.06,0.1,12864,25728
upsell_rate,0.06,0.15,5841,11682
watch_completion_rate,0.4,0.03,13145,26290
watch_completion_rate,0.4,0.05,4746,9492
watch_completion_rate,0.4,0.08,1862,3724
watch_completion_rate,0.4,0.1,1195,2390
watch_completion_rate,0.4,0.15,534,1068
